projectID,authorID,dateID,n_additions,n_deletions,n_total
100018411,poHiroshiCC1I7j,2017-05-27T17:04:33Z,306,194,500
100019568,rsHD_youngMen1siJO,2016-11-20T08:34:33Z,94,189,283
100019568,PByoungMen18oX,2017-12-17T02:39:43Z,4319,98,4417
100019568,youngMen1f,2017-12-10T22:35:02Z,395,42,437
100019568,youngMen1Q,2013-03-25T16:53:53Z,1012,213,1225
100019568,youngMen1Z2g,2016-04-13T06:28:30Z,150,86,236
100096382,DalJUnrealPracticeByCarterb9,2017-10-21T18:10:24Z,63,167,230
10010865,wk23252728,2017-08-05T02:33:24Z,342,160,502
100111460,yannrichet,2010-01-14T23:23:45Z,2435,3866,6301
100133359,B9nngildoferrucioJ-O1,2016-08-20T13:39:55Z,122,122,244
100140625,/canlabAfPr8,2014-12-09T02:24:42Z,462,155,617
100141216,wYuryBandarchuk164sw,2016-05-14T12:44:58Z,79,168,247
10014717,TheTorProject rA,2016-09-19T13:34:08Z,245,158,403
10014717,gLTheTorProjecti2iq,2016-02-07T07:50:14Z,358,196,554
10014717,mTheTorProjectm43fJ,2017-11-12T10:34:39Z,281,479,760
10014717,TheTorProject3X4,2016-05-02T04:09:00Z,1451,388,1839
10014717,KTheTorProject6yOD,2012-07-09T11:58:10Z,218,147,365
10014717,BqxaTheTorProjectGrzhw,2017-10-18T08:44:20Z,199,41,240
10014717,bTheTorProjectd3ce,2017-02-24T16:29:52Z,36,53,89
10014717,wiKTheTorProjectZS,2015-10-10T20:08:21Z,111,190,301
10014717,pxETheTorProject-,2017-11-15T22:41:12Z,197,171,368
10014717, ZTheTorProjectO-oHB,2015-08-08T17:33:04Z,439,1484,1923
10014717,UN1TheTorProjectVX3,2012-12-18T17:58:04Z,1391,274,1665
10014717,IoTheTorProjectaj,2017-11-09T15:35:02Z,410,127,537
10014717,TheTorProjectJ35oe,2017-05-31T01:01:54Z,256,1832,2088
100184233,MSKxwinsmith,2014-04-01T20:06:59Z,173,2,175
100194568,RickyBoydcH,2016-10-18T02:51:26Z,88,264,352
100194568,6L7bFRickyBoyd,2017-03-28T13:51:08Z,275,485,760
100194568,-5QRickyBoyd,2013-12-14T04:35:36Z,483,1850,2333
100194568,mURickyBoyd4uW,2015-04-15T21:48:01Z,10,88,98
100198506,yAjordyalcides ,2012-06-18T11:14:50Z,347,1299,1646
100198506,jordyalcidesQNF,2015-12-21T14:54:20Z,83,106,189
100198506,jordyalcidesfH/O6,2016-04-23T21:38:56Z,170,404,574
100227502,tN8charlielitoG,2017-08-15T17:59:56Z,324,146,470
100232698,xraviabhiram,2017-11-08T18:49:04Z,4,985,989
100232698,/-8raviabhiram 6YtW,2017-06-04T17:02:29Z,1725,68,1793
100261666,xiaol-luoZ4yR_,2017-03-27T14:15:23Z,423,1615,2038
100268599,jdatsoftlyngby,2013-10-21T06:42:20Z,9389,299,9688
100268599,hdatsoftlyngbyiJ,2016-08-05T08:50:50Z,74,161,235
100268599,datsoftlyngbyf7B,2016-01-07T20:08:10Z,147,295,442
100282409,Cqdaniel2becerra,2017-06-09T10:14:10Z,1494,5,1499
100282409,lpCoodaniel2becerrarJ,2017-09-07T16:48:38Z,107,354,461
100282409,2daniel2becerraakoyQ,2016-12-09T22:52:58Z,137,319,456
100291392,Q35Bbrac,2013-09-05T20:46:17Z,368,110,478
100294648,fKluigicorradiT,2017-08-29T15:17:24Z,436,422,858
100294648,UluigicorradiO,2011-12-08T19:35:00Z,119,1653,1772
10030295,1wGlidiasV,2017-01-04T12:05:26Z,48,21,69
100307510,ARUnityBookUz,2016-09-21T05:39:05Z,471,188,659
100307510,ARUnityBooko,2016-10-05T13:41:24Z,82,3885,3967
100311466,DyTghbertuzzoWi,2016-06-08T03:41:31Z,15,141,156
10032777,KoenBuys6FxAh,2015-12-03T14:16:10Z,34,94,128
10032777,KoenBuyszO,2013-05-01T06:00:54Z,379,9274,9653
100332551,BAytCdrybeansXhsG,2017-10-21T09:51:05Z,162,61,223
100334424,UJyIwChrisNatePollock,2017-04-16T19:10:47Z,121,348,469
100339830,LpmylhyzSXV,2013-09-24T14:55:42Z,483,331,814
100339830,mylhyz,2017-04-10T23:11:06Z,191,54,245
100339830,JM0Vmylhyz,2017-07-04T14:27:35Z,96,0,96
100339830,K0Kmylhyzs,2017-01-06T10:51:16Z,1292,368,1660
